,X,DOSE,DOSE_UNIT,RECOMP_DOSE
659,3017911007,0,fEg/kg,NA
660,3017911006,0,fEg/kg,NA
661,3017911005,0,fEg/kg,NA
662,3017909010,200,fEg/kg,NA
663,3017909009,200,fEg/kg,NA
664,3017909008,200,fEg/kg,NA
665,3017909007,20,fEg/kg,NA
666,3017909006,20,fEg/kg,NA
667,3017909005,20,fEg/kg,NA
668,3017909004,2,fEg/kg,NA
669,3017909003,2,fEg/kg,NA
670,3017909002,2,fEg/kg,NA
671,3017909001,0,fEg/kg,NA
672,3017908030,0,fEg/kg,NA
673,3017908029,0,fEg/kg,NA
674,3017908028,2000,fEg/kg,NA
675,3017908027,2000,fEg/kg,NA
676,3017908026,2000,fEg/kg,NA
677,3017908025,200,fEg/kg,NA
678,3017908024,200,fEg/kg,NA
679,3017908023,200,fEg/kg,NA
680,3017908022,20,fEg/kg,NA
681,3017908021,20,fEg/kg,NA
682,3017908020,20,fEg/kg,NA
683,3017908019,0,fEg/kg,NA
684,3017908018,0,fEg/kg,NA
685,3017908017,0,fEg/kg,NA
686,3017908016,2000,fEg/kg,NA
687,3017908015,2000,fEg/kg,NA
688,3017908014,2000,fEg/kg,NA
689,3017908013,200,fEg/kg,NA
690,3017908012,200,fEg/kg,NA
691,3017908011,200,fEg/kg,NA
692,3017908010,20,fEg/kg,NA
693,3017908009,20,fEg/kg,NA
694,3017908008,20,fEg/kg,NA
695,3017908007,0,fEg/kg,NA
696,3017908006,0,fEg/kg,NA
697,3017908005,0,fEg/kg,NA
698,3017906021,9999,%,NA
699,3017906020,9999,%,NA
700,3017906019,9999,%,NA
701,3017906018,0,%,NA
702,3017906016,0,%,NA
703,3017906015,9999,%,NA
704,3017906014,9999,%,NA
705,3017906013,9999,%,NA
706,3017906012,0,%,NA
707,3017906011,0,%,NA
708,3017906010,0,%,NA
709,3017906009,9999,%,NA
710,3017906008,9999,%,NA
711,3017906007,9999,%,NA
712,3017906006,0,%,NA
713,3017906005,0,%,NA
714,3017906004,0,%,NA
715,3017906003,9999,%,NA
716,3017906002,9999,%,NA
717,3017906001,9999,%,NA
718,3017905030,0,%,NA
719,3017905029,0,%,NA
720,3017905028,0,%,NA
721,3017892008,0.6,mg/kg,NA
722,3017889005,0,mg/kg,NA
723,3017889004,0,mg/kg,NA
724,3017889003,0.6,mg/kg,NA
725,3017887001,2000,mg/kg,NA
726,3017886017,2,mg/kg,NA
727,3017886016,2,mg/kg,NA
728,3017886015,2,mg/kg,NA
729,3017886014,0.6,mg/kg,NA
730,3017886013,0.6,mg/kg,NA
731,3017886012,0.6,mg/kg,NA
732,3017886011,0,mg/kg,NA
733,3017886010,0,mg/kg,NA
734,3017886009,0,mg/kg,NA
735,3017886008,2,mg/kg,NA
736,3017886007,2,mg/kg,NA
737,3017886006,2,mg/kg,NA
738,3017886005,0.6,mg/kg,NA
739,3017886004,0.6,mg/kg,NA
